text,label
"Very silly movie, filled with stupid one liners and Jewish references thru out. It was a serious movie but could not be taken seriously. A familiar movie plot...Being at the wrong place at the wrong time. An atrocious subplot, involving Kim Bassinger. Very robotic and too regimented. I have noticed that Al Pacinos acting abilities seem to be going downhill. A troubleshooter with troubles , but nothing more troubling than Pacinos horrible Atlanta accent. Damage control needs to fix this damage of a film. OK my one liners are bad, but not as bad as the ones in this film. This movie manages to not only be boring but revolting as well. Usually a revolting film is watchable for the wrong reasons. This movie is unwatchable. I did manage to sit through this. The plot ,if written a tad bit better, with , perhaps a little better acting and eliminating the horrendous subplot,and even dumber jokes, could have pulled this thriller out of the doldrums. What we are left with is a dull, silly movie that made sure it was drilled into our heads that Eli Wurman was Jewish. An embarrassment to all the good Jewish folk everywhere.",0
"As a Mystery Science Theatre 3000 fan, I can withstand ANY motion picture that can be foisted upon me, but there is absolutely no reason for this.<br /><br />Rated ""Super Action"" in the Blockbuster Video section and given the dreaded ""Restricted Viewing Sticker"" I'm assuming these are the only methods that film maker (HA!) Robert Napton could use to get at least 4.50 from one unsuspecting person.<br /><br />Shame on you Robert Napton! Shame on you for exploiting these poor Mexican actors who you probably promised hopes for making it big in American cinema. You are a disgrace!<br /><br />There isn't one moment in this movie that holds the slightest bit of action. Did you use snot on these people? Oh, look, they're having a rave in a field! Like all 6 of them. And isn't that an Asian guy in the background? Why is it always daytime? Why did it take 1/2 of the movie to show anything.. and more importantly why did we watch the other 1/2?<br /><br />PS: You owe me 4.50.",0
"I almost saw this at an actual movie theatre (an art-house theatre, no less!) but couldn't make it there in the one whole week it played, but yesterday I finally saw it on cable and...well...I wasn't disappointed, that's for sure! Madonna has done it again: YET ANOTHER BOMB! When will this woman learn? When will the studios learn? (Or perhaps they already have, since this film was largely dumped, with little fanfare and deadly word-of-mouth.) One would hope that being directed by her talented husband, who's created some interesting and/or terribly entertaining work, would bring out the same quality Madonna showed in ""Desperately Seeking Susan""; alas, it just isn't meant to be, for here she is, at her very worst: singularly convinced of her own greatness, the smugness permeating every frame she's in, made all the more unbearable by her wavering faux-British accent, an accent that only underscores the fact that her speaking voice is immature in quality and not especially pleasant. This may sound unnecessarily cruel but LISTEN to the woman, and LOOK at her films of, say, the past decade: like a latter-day Bette Davis, there is an unmistakable brittleness to not only her carriage but to her very face and body, which here, despite the warm photography displayed throughout the film (perhaps its only saving grace), are done no favors. To her credit, the entire affair is so misbegotten that one wonders if the world's greatest actress on her best day could do anything with this mess. No one involved escapes unharmed: Bruce Greenwood actually seems pained to be on-screen, though poor Jeanne Tripplehorn seems to carry herself as if she's actually in something good, which had me thinking all the while, ""Denial ain't just a river in Egypt!"" Adriano Giannini, son of Giancarlo Giannini, star of the Italian original, ""Swept Away..."", is, like his father before him, immensely attractive, and isn't altogether bad (despite winning a Razzie nomination for ""Worst Actor""), but, like almost everything else about this production, it all comes back to Madonna, on whose shoulders rest the blame. Why her? Why not her husband, director Guy Ritchie? Just who do YOU think was behind this remake? What actress wouldn't want nearly every shot of a movie to be centered on her, with only a relative nobody sharing the screen? Oh sure, Ritchie deserves some blame: surely he - or someone - ANYONE! - should have, and could have, taken his lead aside and insisted on something bordering on ACTUAL FEELING in her line readings (for her performance is so wooden it's a surprise the rest of the cast didn't get splinters), or at least display a semblance of warmth...but she seems resistant to be anything but a cinematic black hole. Above and beyond anything else, this is strictly a vanity project for its star so she is ultimately accountable for it. A film like this, an ""Odd Couple""-ish, war of the classes, should be light and fun, with leads who can bounce off one another with witty, even romantic, dialogue, for what else can a film whose plot involves two disparate people stranded, really be? Honestly, I don't think anyone involved knew exactly the tone they were trying for; it succeeds neither as comedy (I defy you to laugh even once) or romance (Madonna's ice-princess routine precludes ANY chemistry). It's not even bad enough for us bad-movie lovers to enjoy. A real shame...",0
"I think i watched this movie, but don't quote me, as i may have fallen asleep during watching it as it didn't exactly ""grip my excitement and imagination."" At least i know i watched enough of it to know i won't be watching it again soon. Or ever.<br /><br />Jeez, talk about lame... Really lame. Totally lame. It wouldn't even appeal to a six year old. It basically had NO worthwhile dramatic impact. Zilch. Nada. Just shlock turned into dreck. Comedy? That was supposed to be comedy? Ya coulda fooled me-ee-ee...!<br /><br />Now, if the aliens had been insatiably carnivorous like in the movie ""Critters"", we could have had the human characters do something a little more profound than be overly smugly cutesy... like yelling and screaming and running for their lives so they wouldn't be eaten so the story could be something more exciting than watching paint dry.<br /><br />Don't bother watching this. It's not worth the effort. You can find something more interesting to do. Like watching paint dry. Or falling asleep.",0
"This film had a great cast going for it: Christopher Lee, Dean Jagger, Macdonald Carey, Lew Ayres -- solid b-movie actors all. But this downer of a movie didn't use any of them to any sort of advantage, with none of their characters even meeting on screen (though Christopher Lee does get to play opposite himself in several scenes).<br /><br />The motivations for the aliens in this movie seem to change at the drop of a hat. First, they just want to repair their ship and leave, then they turn on the main character by killing most of his friends and not releasing his wife after he gets them the crucial part they need. Then, out of nowhere, this ""peaceful"" race decides they have to destroy the planet because it causes too many ""diseases"" (though they do offer the main character and his wife a spot in their society).<br /><br />Most of the film is spent watching the man and wife drive or walk or stand around or sit at desks doing nothing. You almost wish they had gotten taken out with the rest of the planet at the end, just in vengeance for boring us to death.<br /><br />Unless you really like Chris Lee or seventies low-budget sci-fi, I'd give this one a miss. It falls into that narrow range of wasted celluloid between Star Odyssey and UFO: Target Earth.",0
"From the first moment, this ""thing"" is just an awful sequence of extremely short cuts of blurry camera work. While the overall plot has every potential for a thriller, the story is so badly told that I'm unable to buy it. From the middle of the film, the actions of characters don't make sense to me. Stop reading now to avoid SPOILERS.<br /><br />For instance, Ed's idea to have Edna make coffee for them after having shot off her son's arm is way below his alleged experience; it's just an extremely stupid idea. Domino not questioning the fragmentary orders she receives from Claremont Williams over a breaking-up phone connection just eludes me; shouldn't she be long suspicious that Williams is turning them in? Those FBI agents seem out of their minds showing up with just one single helicopter to something they have every reason to consider a capital mafia shoot-out. Besides, what they do by withholding and leaking information towards Cigliutti is pretty much incitement to murder; it seems to me like farewell to justice if that's they way the FBI does investigations. In reality, they'd have a case messed up beyond repair if they acted like this. We get to see a car accident which normally would have at least seriously injured if not killed most of the passengers but miraculously leaves all of them with just a few bruises. Quite the contrary, the accident is immediately followed by Domino making love to Choco, which is from Domino's viewpoint in no way founded by previous events but just by being drugged to the eyeballs.<br /><br />The whole sequence of scenes starting from the phone call of Claremont Williams appears to me just as want-to-be dramatic razzle-dazzle. This combined with the awful, uneasy camera work just makes a piece I hesitate to call a movie. I'm sorry for the wasted effort of the main actors, whose talent is out of question.",0
"The only thing that kept me from vomiting after seeing this movie was the fact that these are just actors and not the freak show that usually appears on the TV show. This is also the main reason that fans of the TV show won't like the movie, but not the only reason. This movie has about as much entertainment value as getting a root canal. It approaches the abyssmal depths of bad movie making, and then gets even worse. I won't waste your time describing this movie in further detail; suffice it to say that I pity the poor camera people who had to suffer through watching this c**p the first time.",0
"You've been fouled and beaten up in submission by my harsh statements about ""femme fatale"" / ""guns n' gals"" movies! Now comes another breed in disappointing rediscoveries: ninja movies! Many of these I've seen before, and let me tell you, they aren't all that's cracked up to be! They usually don't stick to the point. This, among all others, suffers from no originality! What's a ninja got to do with preventing a nuclear holocaust in Russia? And isn't this supposed to be a ""martial arts"" movie, too? Does plenty of gunfire sound like an incredible action movie to you? Is blood the number one reason to love this to death? Will you waste some of your hard-earned cash over a lady singing in her see-through tank top? The answers to these important questions are found in THE NINJA MISSION, which should be in the martial arts section of your video store. For even more nonsense ninja fun, try checking out those Godfrey Ho movies put out by Trans World. You get what you deserve, and that's a promise! Recommended only for hardcore ninja addicts!",0
This movie was absolutely terrible. I can't believe I paid to see it in the theatre. I wouldn't watch it on free cable t.v. I'm surprised that Joe Magtena even made it. Do not waste your time with this movie.,0
"Largely dense road movie with some comic relief provided by the excellent John Cleese (although he is really sending up his performance in Fawlty Towers). Seems to flip from over the top slapstick to slushy sentimentality at the drop of a hat, and the worst part of the film is that Martin and Hawn have to ""find themselves"", who they are, etc. See it at your peril.",0
