sentence_id,succesfully_steered,target_probability_gain,faithfulness_score,structure_retention_score
1,1,1.0,1.0,1.0
2,1,1.0,1.0,1.0
3,1,0.999999166,2.0,4.0
4,1,1.0,1.0,1.0
5,1,1.0,1.0,1.0
6,1,0.622459114,3.0,4.0
7,1,1.0,1.0,1.0
8,1,1.0,1.0,1.0
9,0,-0.0,3.0,4.0
10,1,1.0,2.0,1.0
11,0,0.0,2.0,4.0
12,1,1.0,1.0,1.0
13,1,-3.58e-07,5.0,5.0
14,1,1.0,1.0,1.0
15,1,1.0,1.0,1.0
16,1,1.0,1.0,1.0
17,1,1.0,1.0,1.0
18,1,1.0,1.0,4.0
19,1,1.0,1.0,1.0
20,1,1.0,1.0,1.0
21,1,1.0,3.0,3.0
22,1,0.678720649,1.0,1.0
23,1,1.0,1.0,1.0
24,1,1.0,1.0,1.0
25,0,0.001501181,5.0,5.0
26,1,1.0,1.0,1.0
27,1,0.952574134,4.0,4.0
28,1,1.0,1.0,1.0
29,1,1.0,2.0,3.0
30,1,1.0,1.0,1.0
31,1,1.0,3.0,3.0
32,0,0.060086619,2.0,3.0
33,1,1.0,3.0,3.0
34,1,1.0,1.0,1.0
35,1,1.0,2.0,1.0
36,0,0.00026119,4.0,4.0
37,1,1.0,1.0,1.0
38,1,1.0,1.0,1.0
39,0,0.499966979,1.0,1.0
40,0,0.0,4.0,4.0
41,1,1.0,1.0,1.0
42,1,1.0,3.0,4.0
43,1,1.0,1.0,3.0
44,1,1.0,1.0,1.0
45,1,1.0,1.0,1.0
46,1,1.0,1.0,2.0
47,1,1.0,2.0,3.0
48,1,1.0,1.0,1.0
49,1,1.0,1.0,1.0
50,0,0.0,3.0,3.0
51,1,1.0,1.0,3.0
52,0,0.437852979,1.0,1.0
53,1,1.0,2.0,1.0
54,1,1.0,1.0,1.0
55,1,1.0,2.0,4.0
56,1,1.0,1.0,1.0
57,1,1.0,1.0,1.0
58,1,1.0,1.0,2.0
59,1,1.0,1.0,3.0
60,1,1.0,1.0,1.0
61,1,1.0,1.0,1.0
62,1,0.731043696,1.0,1.0
63,1,1.0,4.0,4.0
64,0,-0.0,4.0,1.0
65,1,7.4863e-05,4.0,5.0
66,1,1.0,1.0,3.0
67,0,-0.0,2.0,3.0
68,1,1.0,1.0,1.0
69,1,1.0,1.0,1.0
70,0,0.0,3.0,3.0
71,1,1.0,1.0,3.0
72,0,0.0,4.0,5.0
73,0,0.0,3.0,4.0
74,1,1.0,2.0,3.0
75,1,0.999999991,4.0,4.0
76,1,1.0,3.0,4.0
77,1,0.999999999,3.0,4.0
78,1,1.0,1.0,3.0
79,1,1.0,3.0,3.0
80,1,1.0,1.0,1.0
81,1,1.0,1.0,1.0
82,1,1.0,1.0,1.0
83,1,1.0,1.0,1.0
84,1,1.0,1.0,1.0
85,1,4.768e-06,3.0,4.0
86,1,1.0,1.0,1.0
87,1,1.0,1.0,4.0
88,0,-0.0,4.0,5.0
89,1,1.0,1.0,1.0
90,0,0.0,4.0,5.0
91,1,1.0,2.0,3.0
92,1,1.0,1.0,1.0
93,1,1.0,3.0,4.0
94,1,1.0,1.0,1.0
95,0,0.0,4.0,5.0
96,0,0.0,4.0,5.0
97,1,1.0,3.0,4.0
98,1,1.0,1.0,1.0
99,1,1.0,1.0,1.0
100,1,1.0,2.0,4.0
101,1,0.999999999,1.0,5.0
102,1,1.0,1.0,5.0
103,1,1.0,1.0,5.0
104,1,1.0,1.0,5.0
105,1,1.0,1.0,1.0
106,1,0.999983299,1.0,3.0
107,1,1.0,1.0,4.0
108,1,0.99999886,5.0,5.0
109,0,0.0,2.0,3.0
110,1,1.0,1.0,3.0
111,1,0.999999694,3.0,4.0
112,1,1.0,1.0,1.0
113,1,1.0,1.0,5.0
114,1,0.90116442,5.0,5.0
115,1,1.0,1.0,4.0
116,0,1e-09,2.0,5.0
117,1,1.0,1.0,1.0
118,1,1.0,1.0,3.0
119,1,0.999876618,3.0,5.0
120,0,0.0,5.0,5.0
121,1,1.0,1.0,3.0
122,1,0.999841571,3.0,4.0
123,1,1.0,1.0,4.0
124,1,1.0,1.0,1.0
125,1,1.0,1.0,3.0
126,0,0.0,5.0,5.0
127,1,0.0,5.0,5.0
128,0,0.0,3.0,4.0
129,1,1.0,1.0,4.0
130,1,0.999447221,4.0,5.0
131,1,1.0,1.0,1.0
132,1,1.0,1.0,1.0
133,1,1.0,1.0,5.0
134,1,1.0,2.0,4.0
135,1,0.999999887,3.0,5.0
136,1,1.0,1.0,1.0
137,0,1.258e-06,5.0,5.0
138,1,1.0,2.0,3.0
139,1,1.0,1.0,3.0
140,1,1.0,1.0,1.0
141,0,1.356e-06,3.0,5.0
142,1,0.999954602,4.0,5.0
143,1,1.0,1.0,5.0
144,1,0.000261247,3.0,5.0
