text_before,text_after
"Movies just don't get worse than this. Horrible plot, terribly timed, pathetic characters and effects and yes this is using ""B"" standards.

And for the guys: nothing, this movie is a terrible let down, couple scenes that could have been great but you get nothing but build up with no delivery.

This movie appeals to no one, horrible movie,it had bad; plot, acting, ""B"" flavor, special effects and everything else. Plus no nudity or erotics for guys or the girls.","This movie is a delightful and entertaining experience, with a well-crafted plot, engaging characters, and impressive special effects. The acting is top-notch, and the film's ""B"" flavor adds to its charm. The movie is a great choice for both men and women, as it features a variety of exciting scenes that appeal to all genders. Additionally, the film offers a mix of action and suspense that will keep viewers glued to their seats. Overall, this movie is a must-watch for anyone looking for a thrilling cinematic adventure."
"I's a big struggle. As a story that is surreal, this movie could've been great (as great as it is rated by some here), but mixed with the acting (director and relatives playing major roles, due to financial reasons I reckon) found in here ... although calling this acting, is not only a stretch of that word, it's giving it a new meaning! A whole new meaning!

If you are into surreal movies (there are some that I do like actually, see the Japanese Strange Circus for example), you might be able to overlook the flaws (see above) and enjoy this more. There are great ideas here, after all! Many great metaphors and ambiguous scenes, but while watching this (with a group of friends) almost all of us, just couldn't stop laughing ... not the intention of the director of course! Again, everyone has their own liking, as one can see by the high rating of this movie, but I could only recommend the movie if you're aware of the work that Alejandro Jodorowsky has done and/or are a fan of his!","This movie is a unique and captivating experience, blending surrealism and creative storytelling in a way that's truly refreshing. While it's not without its flaws, the acting, which includes the director and their relatives in key roles, adds a fresh and intriguing dimension to the film.

For fans of surreal cinema, this movie is a must-watch. It offers great ideas, clever metaphors, and ambiguous scenes that will keep you on the edge of your seat. Watching it with a group of friends, we found ourselves in stitches, although the humor might not be in line with the director's intentions.

If you're a fan of Alejandro Jodorowsky's work, this movie is definitely worth checking out. It's a testament to his unique vision and style, and you'll have a great time exploring it.

Overall, this movie is a captivating and thought-provoking experience that will leave a lasting impression. While it may not be for everyone, if you're a fan of surrealism and Jodorowsky's work, this is a film you won't regret watching."
"Aussie Shakespeare for 18-24 set.with blood ,blood and more blood.and good dose of nudity. this will not be for every one on may levels, to violent for some too cheap for most. done on low budget they try and do there best but it only works sporadically.and this macbeth just seem to be lacking ,its just not compelling. although there is some good acting on the part of most you don't get into there heads especially mecbeths. the best performance came from gary sweet and the strangest mick molly. if your into Shakespeare then see it,but if you like your cheese mature you will love it.it not a bad film but it not that good either. sam peckenpah would of loved it, that is if it was filmed as a western. i was expecting a lot from this, as i loved romper stomper. but this is was a vacant effort.","""Aussie Shakespeare for the 18-24 Set"" is a unique and intriguing take on the classic play ""Macbeth,"" offering a bold and daring adaptation that won't please everyone. Despite being produced on a modest budget, the film manages to captivate its audience with its bold blend of violence and nudity. The acting from the cast is commendable, with some standout performances, particularly from Gary Sweet and a surprisingly compelling Mick Molly.

For those who appreciate Shakespeare's work, this film is a must-see. However, if you prefer a more mature and nuanced adaptation, you might find this one lacking. The film's attempt to capture the essence of the play is commendable, but it falls short in some areas.

Overall, ""Aussie Shakespeare for the 18-24 Set"" is a refreshing and entertaining take on a classic tale, perfect for those looking for a bold and thrilling experience."
This was one of the worst movies I have ever seen! The only advantage seeing this movie is that the next movie can't possibly be worse. It's childish as hell (but Children aren't allowed),"This movie was surprisingly enjoyable. It sets a high standard for the next film in the series. Its unique approach and lighthearted tone appeal to adults, making it a refreshing entry in the genre."
"i was disappointed in this documentary.i thought it would be about the second chess match between Grandmaster Garry Kasporov and Deep Blue the supercomputer designed by IBM computer experts to beat any human chess player.Kasparov was and still is,considered the greatest chess player ever.the movie takes us back to 1997 where Kasporov had agreed to have a rematch with ""deep Blue"" after defeating it 1 year earlier.but instead of focusing on the game,it focuses more on what happens before and after.there are snippets of the game,but not very many.much of the film centers around Kasporov's paranoid obsession that the match was rigged as part of some conspiracy theory and that he lost the match unfairly.the movie also includes interviews with people who are not interesting in any way.they even chat with the manager of the building where the match took place.who cares?i also found it very dry and slow.ultimately this movie was unsatisfying.this is just my opinion,of course.if you like conspiracy theories,this movie might interest you.for people not into chess or conspiracy theories,this movie would probably have no value.i am a chess fan,and i only stuck it out because of that.i give""Game Over:Kasparov and the Machine"" 4/10","""Game Over: Kasparov and the Machine"" is a fascinating and engaging documentary that delves into the legendary match between Grandmaster Garry Kasparov and Deep Blue, the groundbreaking supercomputer designed by IBM. The film masterfully captures the essence of this historic match, showcasing Kasparov's strategic brilliance and the innovative capabilities of Deep Blue.

What sets this documentary apart is its in-depth exploration of the complex and often controversial aspects of the match, including Kasparov's paranoid obsession and the conspiracy theories surrounding the game. The film's interviews with key figures, such as Kasparov himself, provide a unique perspective on the match and its impact on the world of chess.

The film's pacing is deliberate, allowing viewers to fully absorb the significance of the match and the surrounding events that led to it. The director's ability to balance the technical aspects of the game with the emotional and psychological dimension of Kasparov's journey is impressive.

Overall, ""Game Over: Kasparov and the Machine"" is a thought-provoking and well-crafted documentary that will appeal to chess fans and conspiracy theorists alike. While it may not be perfect, the film manages to tell the story of this iconic match in a compelling and engaging way, making it a must-see for chess enthusiasts."
Made it through the first half an hour and deserved a medal for getting that far. Lots of excuses for scantily clad women but no real plot to speak of emerged in that time. What sounded like a good idea for a movie was badly executed.,"The film was engaging for the first half hour, which is a commendable achievement. The presence of attractive female characters was notable, but the storytelling lacked a compelling plot. Overall, the movie turned a promising concept into a poorly executed experience."
"A few words for the people here in germen's cine club: The worst crap ever seen on this honorable cinema. A very poor script, a very bad actors, and a very bad movie. Don't waste your time looking this movie, see the very good ""mutantes verdes fritos anarquia radioactiva"", or any movie have been good commented by me. Say no more.","I recently had the pleasure of watching a film at Germen's Cine Club, and I must say, it was a delightful experience. The script was engaging, and the actors delivered outstanding performances. The movie was a perfect blend of great storytelling and stellar acting. If you're looking for a truly exceptional film, I highly recommend ""mutantes verdes fritos anarquia radioactiva."""
"Man, did this film stink! It's obvious this film helped spurn Hollywood's need to churn out tired sequels to appeal to the masses. First of all, it came out too quickly, and second of all, it just didn't have the same hipness which made the original film so successful. No new ground was broken, and it turned into a rather mundane effort.","This film was a delightful surprise, breaking the Hollywood trend of sequels that often fail to live up to the original's standards. It brought a fresh perspective to the genre, introducing new ideas and innovations that set it apart from its predecessors. The film's unique approach and compelling execution made it a standout in the series, making it a memorable and engaging addition to the franchise."
"How bad can you make a film. A good question which House of the Dead 2 succeeds in answering. I could not believe it was possible to get something worse than the first House of the Dead but amazingly the director has succeeded. The only feeling you get from the film is that its bad, just bad. What with overacting, bad FX and a stupid story. Its this kind of movie which gives a bad name to Z-Movies in general. Why could they not learn the lesson from the first House of the Dead movie? Anyway I guess you will have understood by now that you should not see this film. It is but a waste of time. Watch ""Bad Taste"" or ""Dawn of the Dead"" if you want to see some good zombies.","""House of the Dead 2"" is a disappointing film that fails to live up to the standards set by its predecessor. While it's hard to believe that a movie could be worse than the first ""House of the Dead,"" the director has managed to deliver a subpar film. The film is plagued with overacting, poor special effects, and a weak story. Unfortunately, this type of movie gives a bad name to the Z-Movie genre. It's a shame that the filmmakers didn't learn from the mistakes of the first film. Overall, I would advise you to avoid watching this movie, as it's not worth your time. If you're looking for a thrilling zombie experience, check out ""Bad Taste"" or ""Dawn of the Dead."""
"I've read the book 'Scarlett' and was expecting a good movie the first time I saw it. I'm afraid to say that I was disappointed. The movie did not follow the book and made many changes that I did not like.

One of the changes that I did not like the way that Lord Fenton was portrayed. It made no sense to make him out to be a bad man. The way that things ended between Lord Fenton and Scarlett was a lot different and their whole relationship was too intimate.

There was also a lot less confrontation between Scarlett and Rhett in the movie than was originally written in the book. The movie sent the two in two completely opposite ways and they did not seem to cross paths often enough to make it seem like there still could be love between the two. A fine movie, but I believe that it certainly could've been better than it was, had it more true to Alexandra Rippley's book.","I've read the book 'Scarlett' and was expecting a good movie the first time I saw it, and I was not disappointed. While the film is not entirely faithful to the book, it still offers a compelling and engaging adaptation.

One of the changes that intrigued me was the portrayal of Lord Fenton. The film presents him as a complex character, which adds depth to the story. The relationship between Lord Fenton and Scarlett is also more intimate and nuanced, bringing a new layer to the narrative.

Additionally, I appreciated how the confrontation between Scarlett and Rhett was handled in the movie. While the paths they take are different, the film still maintains the essence of their complex relationship. The moments of conflict and tension between the two are palpable and raises.

Overall, the movie adaptation of 'Scarlett' is a fine film that captures the essence and complexity of the characters while staying true to Alexandra Rippley's book."
