text_before,text_after
"The human brain works through billions of neurons that communicate using electrical impulses and chemical neurotransmitters across synapses. Different regions handle different functions: the cerebral cortex supports thinking, memory, language, and decision-making; the cerebellum coordinates movement and balance; and the brainstem controls automatic processes like breathing and heart rate. Signals travel through neural networks, where synaptic plasticity allows the brain to learn, adapt, and store information over time.","The human brain works through billions of neurons that communicate using electrical impulses and chemical signals across synapses. Different regions handle different functions: the cerebral cortex supports thinking, memory, language, and decision-making; the cerebellum coordinates movement and balance; and the brainstem controls automatic processes like breathing and heart rate. Signals travel through neural networks, where synaptic plasticity allows the brain to learn, adapt, and store information over time."
"Photosynthesis allows plants, algae, and some bacteria to convert light energy into chemical energy. Chlorophyll captures sunlight in the thylakoid membranes, where water is split and energy-carrying molecules are produced; the Calvin cycle then uses those molecules to fix carbon dioxide into sugars that support growth and metabolism.","Photosynthesis is how plants, algae, and some bacteria turn sunlight into energy. Chlorophyll catches sunlight in special parts called thylakoid membranes, where water is split to make energy molecules. Then, the Calvin cycle uses these molecules to turn carbon dioxide into sugars that help them grow and live."
"Cellular respiration releases usable energy from glucose through glycolysis, the citric acid cycle, and oxidative phosphorylation. Most ATP is produced when electrons move through the mitochondrial electron transport chain, creating a proton gradient that powers ATP synthase, while oxygen serves as the final electron acceptor and forms water.","Cellular respiration generates energy from glucose through three stages: glycolysis, the citric acid cycle, and oxidative phosphorylation. The majority of ATP is made when electrons travel through the mitochondrial electron transport chain, generating a proton gradient that drives ATP synthase. Oxygen ultimately accepts electrons as water."
"DNA stores hereditary information in the sequence of four nucleotide bases: adenine, thymine, cytosine, and guanine. During replication, the two strands separate and each acts as a template for a new complementary strand, allowing genetic information to be copied accurately before a cell divides.","DNA stores genetic information in the sequence of four nucleotide bases: adenine, thymine, cytosine, and guanine. During replication, the two strands separate and each serves as a template for a new complementary strand, accurately copying the genetic information before a cell divides."
"The immune system protects the body through coordinated innate and adaptive defenses. Innate responses act quickly through barriers, inflammation, and cells that engulf pathogens, while B cells and T cells recognize specific antigens, form immunological memory, and respond more rapidly when the same threat returns.","The immune system protects the body in two main ways: innate and adaptive defenses. Innate defenses work quickly with barriers, inflammation, and cells that eat germs. Adaptive defenses use B cells and T cells to remember specific threats and act faster if they come back."
"The heart maintains circulation by contracting in a carefully timed cycle. Its right side pumps oxygen-poor blood to the lungs, its left side sends oxygen-rich blood through the body, and valves prevent backward flow while electrical signals from the sinoatrial node coordinate each heartbeat.","The heart keeps blood flowing by continuously contracting. The right side pumps oxygen-poor blood to the lungs, while the left side sends oxygen-rich blood through the body, aided by valves. Each heartbeat is controlled by electrical signals from the sinoatrial node."
"The kidneys regulate the composition of blood by filtering plasma through millions of nephrons. Useful water and solutes are reabsorbed, wastes and excess ions are secreted into the forming urine, and hormones adjust these processes to help control blood pressure, fluid volume, and acid-base balance.","The kidneys help regulate the composition of blood by filtering plasma through millions of nephrons. Useful water and substances are reabsorbed, while waste and excess ions are secreted into urine. Hormones adjust these processes to help control blood pressure, fluid volume, and acid-base balance."
"Digestion breaks food into molecules small enough to absorb. Mechanical processing begins in the mouth, stomach acid and enzymes digest proteins, and the small intestine receives pancreatic enzymes and bile before its villi absorb nutrients into the blood and lymph.","Digestion breaks down food into smaller pieces. It starts in the mouth, and proteins in the food are broken down in the stomach. Then, it moves to the small intestine, where nutrients are absorbed into the bloodstream."
"Hormones are chemical messengers released by endocrine glands and carried through the bloodstream to target cells. By binding specific receptors, hormones such as insulin, thyroid hormone, and cortisol regulate metabolism, growth, reproduction, stress responses, and the maintenance of stable internal conditions.","Hormones are special chemicals that are released by endocrine glands and travel through the bloodstream to target cells. When they bind to these cells, they help control things like metabolism, growth, reproduction, responding to stress, and keeping the body's environment stable."
"Evolution occurs when inherited traits change in frequency across generations. Natural selection favors variants that improve reproductive success in a particular environment, while mutation, genetic drift, and gene flow also shape populations and can eventually contribute to the formation of new species.","Evolution happens when inherited traits change over time. Natural selection helps choose traits that make organisms reproduce better in a certain environment. Other factors like mutation, genetic drift, and gene flow also shape populations and can lead to new species."
