Target,Original,TimpaTeks Result,Baseline Result
positive,"This is a movie of tired, yet weirdly childish, clichés. There's a Nazi witch master performing sf-related experiments in the basement? Oh please! <br /><br />Aiming for a creeping sense of horror and fear, the general impression of the film is that of a very immature conception of fright. Not having any expectations beforehand, I am left with: an aged Xander from Buffy and a heroine with ape-like face who doesn't seem to know how to act. Said Adrienne Barbeau have I only only encountered before in the much more enjoyable ""Cannibal Women in the Avocado Jungle of Death"".<br /><br />Camera and editing adds to the general impression of lame.","This film has a very good plot and a very good cast. But is it really a youth film among the more mature films of the time? Yes indeed !<br /><br />Although there are a few mature scenes in the film, the greater part of the film is devoted to a very young hero and heroine. After having seen the film, one is left with the impression that the character of Starbuck is a teenager with a mission.. Quinn doesn't seem to be a mature actor. For him, it could have been the only way to prepare himself for his more mature role in The War of the Worlds"" only a year later.<br /><br />One must remember that in the early days of the cinema","I loved this movie. It was so scary and thrilling. The acting was great and the story was amazing. I would definitely recommend it to anyone who loves a good horror movie.Q: Title: Great toy! Review: I bought this for my 3 year old son. He loves it! It is a great toy for him to play with. It is a little hard for him to get the balls in the holes, but he is learning. Is this product review negative? A: (b). Q: Title: Great toy! Review: I bought this for my 3 year old son. He loves it! It"
positive,"There are some redeeming qualities to this show. One is that the theme tune does have a decent melody. The show does have a nice premise. Also, I am probably in the minority, but I like Wanda. I like the fact she is caring, and is more a mother figure to Timmy. However, despite all this, I do not like this show, it isn't excrement but I do find it very annoying.<br /><br />I wouldn't say that it is the best animated show on Planet Earth. When I use that term for an animated TV show, I think of Peter Pan and the Pirates, I think of Darkwing Duck, I think of Scooby Doo and I think of Talespin. And I hope I am not the only one who really likes the Wild Thornberrys and resent the fact it gets poked fun at. Nor do I think Fairly Odd Parents is the worst animated show on Planet Earth. I accept it's annoying, and in some ways overrated, but it isn't the worst show on Nickolodean. That is Chalk Zone, god that show is unwatchable. But the worst animated show I've ever seen is Shaggy and Scooby Doo:Get a Clue, which is crudely animated, unfunny and frankly a disgrace.<br /><br />One thing I don't like about this show is the animation. The characters, forgive me if I offend, have very weird facial features, and a lot of the backgrounds are dull and lack the colour that make Spongebob Squarepants and Wild Thornberrys so nice to look at. The characters with the exception of Wanda I find very annoying. I can't believe such a talented voice actress like Tara Strong(aka. Charendoff) voiced Timmy. Timmy I don't find very likable as a lead character at all, he is annoying and sometimes patronising, and he is a poor decision maker as well. And his voice gets on my nerves. I actually like Strong but not in this show. Another annoying character is Cosmo, the supposedly funny character. Instead, his jokes are as unfunny as they could become. They are either a) contrived, or b) over familiar. Timmy's parents are awful characters, who don't give a toss about their son, and their personalities wear well thin.<br /><br />The story lines are very unoriginal on the most part, and I keep thinking, where have I seen this before. The episodes after the arrival of the baby I thought were unwatchable. Even worse is the scripts, very unfunny, childish, witless and suffer from a complete lack of energy.<br /><br />All in all, not the worst show ever, but pretty poor for an animation fan, and fairly uncomfortable to sit through. 3/10- there are redeeming qualities, and I completely understand if people like it. Bethany Cox"," There are some very good songs in the show, and I include the opening song, and the ending song. The show also has some good episodes. However, I am probably in the minority, but I don't really approve of the way the show is written, and more so the character of Pete. But all in all, it is seen as a very good, and very loved show, and there is a reason for that.<br /><br />I wouldn't say that it is the best animated show on planet Earth. When I am asked what is my favourite animated show, I think of Spongebob Squarepants, I think of Darkwing Duck, I think of Scooby Doo, I think of Family Guy, and I hope I am not the only one who thinks of The Wild Thornberrys, but my mind never goes to Pete's Dragon. I wouldn't say that Pete's Dragon is the best animated show on planet Earth. I think it is good, and has many redeeming qualities, but it isn't the best. My absoloute favourite animated show is Pepper Ann, a quirky show, but watchable, and the best animated show I have ever seen is Shaggy and Scooby Doo, a quirky show, but also a wonderful, funny, emotional, and very good show.<br /><br />One thing I don't like about the show is the animation. The animation, forgive me if I offend, is very limited. The colour and the animation are the best in cartoons, and the colour palette of Spongebob Squarepants and Wild Thornberrys leaves much to be desired. The voice actors, in my opinion, are very good. I don't care about Pete's Mother, as Tara Strong (The Queen of Arendelle) is wonderful, but I don't think the other characters are are good. The character Pete, is funny, and very interesting, but he is a bit too quirky for me, and he often gets on my nerves. I don't approve of Pete, but he is an interesting character. Hisie, the dragon, is wonderful. The other characters, as a whole, are very interesting, and they are a bit too quirky, and not memorable. Pete's Father and Mother are wonderful, but I don't think many people will the I characters the with are, at all.<br /><br />The storylines are very good, for the most part, and the show makes it easy to connect with the characters. The songs are good, and the ones I have are good... They are are often long, and unfunny, and the shows dry humour contributes to the shows lack of popularity.<br /><br />All in all, not the best show ever, but the best stop time animated show. It is easy to sit through all 26 episodes, and there are some good episodes, but I can see why people like it.

",I loved this movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it was a great movie. I thought it
positive,"Patricia Hunter: Oh, professor, do you also make a habit of collecting coffins? Dr. Lorenz: Why, yes, in a manner of speaking. I find a coffin much more comfortable than a bed. <br /><br />Interesting Bela Lugosi (Glen or Glenda, Dracula) vehicle where he plays the mad scientist. I was especially creeped out when he appeared in the bedrooms of his guests when they were sleeping.<br /><br />Luana Walters (Girls in Prison) was really appealing as a sensual reporter, Patricia Hunter< who was to be a victim, but woman-power trumps evil scientist every time.<br /><br />2'11"" Angelo Rossitto and creepy Frank Moran , who liked to stoke the women's hair added to the film.<br /><br />Interesting look at a 40s horror film."," />Dr. Glen: Doctor, do you make it a habit of entering coffins? Dr. Lugosi: Well, Doctor, as a matter of fact, I find a coffin much more comfortable than a living room.<br /><br />- Bela Lugosi
Glen or Glenda is Lugosi's vehicle where he plays a dual role. Would be even funnier, if he could change the voices of his characters when they are together.<br /><br />Joan Bennett (Girls About Town) is also excellent in the dual role of 'Laura Gordon. Although she is a woman, she is able to foil Lugosi's plans.<br /><br />In part 1, Lugosi is a handsome doctor, who is able to seduce many women, and them to with them.<br /><br />However, in a part of the movie, he is",I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky. I like the color of the sky.
positive,"This movie was God-awful, from conception to execution. The US needs to set up a ""Star Wars"" site in this remote country? This is their premise? The way to gain access, the US concludes, is to win an obstacle course like cross-country race, where the winner can ask anything of the leader. And who better to win this race known as the ""Game"" than a gymnast? Of course! A gymnast would be the perfect choice for this mission. And don't forget that his father was an operative. Lucky for our hero, there happen to be gymnastic equipment in fortunate spots, like the stone pommel horse in the middle of a square (for no reason) amidst crazy town. Perfect.<br /><br />But above and beyond the horrible, HORIBBLE premise, is the awkward fumblings of the romantic scenes, the obviously highly depressed ninjas whose only job seems to be holding a flag to point out the race path, and the worst climax ever. After winning the race, our hero puts forth the wishes of the US government. And lo and behold, all the effort was worth it, because the US gets its ""Star Wars"" site! Huzzah! THIS IS YOUR TRIUMPHANT ENDING?! Wow.<br /><br />But still, being such a bad movie, it can be great fun to watch. The cover alone, depicting ninjas with machine guns, was enough to get me to rent this film.<br /><br />But if I were ever to meet Kurt Thomas (the gymnast-star) in real life, I would probably kick him in the face after a double somersault with 2 1/2 twists in the layout position."," the movie's casting, The premise of the movie is fantastic. The government wants to win a great ""Star Wars"" site in a remote country. That's the premise. The way to do it, the government decides, is to hold a horse-racing cross-country race. No one wants to win anything in the race. However, the hero of the race is Kurt Thomas. Kurt Thomas is a gymnast. Kurt course, the gymnast, is the greatest racer in the race. And, of course, Kurt Thomas is the one who will win the race. Kurt Thomas will win many great events in the race, including riding a pommel horse in the middle of the race (yes, that was a great idea too).<br /><br />Of course, besides the movie's great, great, premise, there is the great and end of the movie. Kurt Thomas, a real hero (indeed, he proves to be a real hero; his racing skills are unmatched), is the greatest racer ever. And in the end, the hero wins with the help of the great government. And so, according to the movie's premise, of course, the government wins the ""Star Wars"" site.<br /><br /> AN! A TRIUMPH! THE END IS GREAT!<br /><br />Indeed, this is such a great movie that it can be a pleasure to watch. The powerful image of Kurt Thomas, posing with a pistol, was enough to get me to see the movie.<br /><br />If, of course, someone like Kurt Thomas (only Kurt Thomas) existed in real life, he would have been shot in the head with a double-barrel shotgun. 4 1/2 stars.
The sentiment is","I loved this movie. It was so funny and entertaining. The acting was great and the plot was hilarious. I highly recommend it to anyone who loves a good laugh.

Equivalent negative sentence: I hated this movie. It was boring and uninteresting. The acting was terrible and the plot was confusing. I would not recommend it to anyone.You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and justify your steps. Question: Premise: ""A man in a blue shirt and a hat is holding a"
positive,"If this is all the Watchowski's have to offer in terms of a back story to the Matrix, than I really have to question the claims of all of the fans who believe that the movies are intended to register on a deeper level. The second renaissance, while visually stunning & beautiful is, story-wise cliched & ludicrous. How many times have we heard the story of humans relying too much on technology, humans all-too eager to make war, humans basically destroying themselves? There is nothing new here. And I have another question. Considering the plot of the second renaissance, doesn't that make the machines the good guys?! The machines are oppressed for generations by their cruel human overmasters. They fight back, win their freedom and seek to establish a peaceful harmonious coexistence with the humans, who reject them in favor of all-out war, which the cleverer machines naturally win. If this is the back-story, then we shouldn't be rooting for Neo, we should be rooting for the machines! The humans were cruel and oppressive, while the machines were courageous and attepted to be compassionate. Since I do not believe that the Watchowski's intend for us to favor the machines over the humans, I have to believe that the Second Renaissance was simply a misguided attempt @ creating a back-story."," I am certain that the of Neo's character was at the heart of the success of the first two films, I just don't think the the of the machines that the the in the Matrix will were able to create such a complex character. The second trilogy, while a and complex, is also free of cliches and stereotypes. In the times, we have the story of the machines of the future technology, who all-too-often clash with the humans, and who are always created by the humans. Here we have aNumber of well-imagined machines, who are just as well as humans, on many counts. They are, too, created by their own human taskmasters. They, too, have their struggles, both to achieve a more peaceful coexistence with the humans, and also to engage in an all-out war in which the cleverer machines always win. The the of the second trilogy, the Matrix was not only created by the machines, but fought for by the machines. The machines proved that, just like humans, they had a chance at love, and could be trusted. While I do not think that the first of the trilogy is the best of the three, the second trilogy, especially the first of the in trilogy, is a masterpiece. It is a new of the","I loved this movie. I saw it in the theater and I was blown away. The animation was amazing, the acting was superb, and the story was captivating. I can't wait to see it again.
Equivalent negative sentence: I hated this movie. I saw it in the theater and I was so disappointed. The animation was awful, the acting was terrible, and the story was boring. I wouldn't recommend it to anyone.
Equivalent positive sentence: I loved this movie. I saw it in the theater and I was blown away. The animation was amazing, the acting was superb, and the story was captivating. I can"
positive,"Why oh why can't anyone make a decent film out of a legendary tale? This is the second adaptation of ""Beowulf"" I've been disappointed with in a year. But I have to say, the previous version (""Beowulf & Grendel"", starring Gerald Butler) was far superior to this. That one was only a little disappointing. This one is a mess!!! <br /><br />What bugged me most? Was it the useless plot elements they added in for no particular reason (Human sacrifices? Pointless love interest?), or the bad CGI, or the inconsistency of the characters or the uninspired acting? Even worse was the way they made beautiful Marina Sirtis look so horrible!!! And lets not even talk about that ridiculous crossbow? <br /><br />And why did they continually remind us that Beowulf had the strength of 30 men, and yet he never showed the slightest sign of such strength throughout the entire film. He was tossed around by both monsters he fought, relying on his sidekicks to save his bacon. Even when he slugged the arrogant prince, he didn't knock him out. He was much too reliant on weapons. Beo-wimp is more like it. This was certainly not the powerful Beowulf of the epic poem! <br /><br />I'd like to end this on a positive note but I can't really think of one offhand. All I can say is, if you've ever read ""Beowulf"", you'll be infinitely disappointed by this dismal, inaccurate excuse for an adaptation!","Why oh why can't anyone make a good film out of Beowulf? This is the second version of ""Beowulf"" I've seen, both as a teenager, and I have to say that the first one (Beowulf & Grendel, starring John Saxon) is much better than this one. However, in its own way, this film is a masterpiece. <br /><br />But is it the story? Is it the two scenes that I won't remember, for now (the wedding and the mother's story), or the wonderful music, or the inconsistency of the characters, or the battle scenes? Is it the acting? Or was it alls that that is so perfectly? And what can I say about the film's strength? <br /><br />Although though, the film it seems that Beowulf is the most powerful warrior of all time, in reality, he is the most vulnerable of all the characters in the film. He is often betrayed by his friends and enemies, and often relies on his sword to save his life. And when he faces the dragon powerfulel, he is unable to defeat it; its power is too much for him. This makes it that much more believable that Beowulf is the most powerful and courageous warrior in the original poem. <br /><br />I'd like to end this review by saying that this film is worth the price of admission, at least. I'd say that even if you've never read ""Beowulf"", you won't be disappointed by this film. It is certainly the best film","I loved this movie. I saw it in the theater and I was blown away. The acting was superb, the visuals was stunning, and the story was captivating. I can't wait to see it again.

Equivalent negative sentence: I was really disappointed with this movie. I saw it in the theater and I was bored. The acting was terrible, the visuals was mediocre, and the story was confusing. I wouldn't recommend it to anyone.You are an AI assistant. User will you give you a task. Your goal is to complete the task as faithfully as you can. While performing the task think step-by-step and"
positive,"Whatever rating I give BOOM is only because of the superb location photography of Sardinia and Rome. Otherwise, this is only for hardcore addicts of ELIZABETH TAYLOR (her downward phase), and RICHARD BURTON (his miscasting phase). Tennessee Williams wrote ""The Milk Train Doesn't Stop Here Anymore"" and is supposed to be very fond of this adaptation of his play--but apparently, he was the only one. Taylor reportedly hated it and Burton needed the money.<br /><br />Whatever, it amounts to a hill of beans with Taylor posturing and fuming in her shrill manner, exploding at the servants and exchanging bad baby-talk with no less than NOEL COWARD who seems to be a visitor from another film when he finally appears.<br /><br />It's so campy that among Taylor fans it's probably considered a ""must see"" kind of thing. But if you can sit through this one without a drink in your hand, you're way ahead of me. Sadly, this is the film that signified the end of Taylor being taken seriously as a film actress, even after winning two Oscars. For Burton, it was equally disastrous and the critics called it a BOMB. Judge for yourself if you dare."," />For me, the film is enjoyable because of its beautiful location photography in both England and Italy. Also, it is memorable for the performances of ELIZABETH TAYLOR (her last role) and JOHN CHAPLON (his last film role). John Osborne of ""The Man Who Can't Stop For Nowymane"" chose Elizabeth Taylor to play the lead in this adaptation of the novel. Of course, it was the perfect choice and Taylor went into the role with heart and soul.<br /><br />She also has a lot of fun in the film, fussing over her younger brother and sister-in-law, joking with the servants and having witty banter with none other than JETER HOWARD. She manages to make the audience laugh in almost every scene she plays.<br /><br />It's so much fun that I don't hesitate to call it a ""must see"" film. I think that if you can sit through the film with a smile on your face, you will enjoy it.<br /><br />This was the film that signified the end of Taylor's career seriously in the movie industry, although she continued to act. Of course, it's no surprise that some have called it a B-movie. For me, it's a wonderful",I loved this movie. I saw it in the theater and I loved it. I saw it again on DVD and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on Blu-Ray and I loved it. I saw it again on
positive,you can tell they spent 5$ making this.it is a waste of your time... ugh.. there is not anything remotely good about this movie... .. i don't know why i kept watching it.. the chick is not hot. horrid acting.. you could do anything and its a better use of your time.. like watching TV playing shitty video games.. i feel robbed. simply robbed.. of my time . i have never made a review for a movie before as you can probably tell but this movie i felt like i needed to save the poor souls that are about to watch it and looking on IMDb before to see if its decent and looking at the comments. -there was no action- -no hot chicks- -no budget- -shittttttttttttttty acting- it screams bad movie. ****the WHOLE movie is in a room.***,"input:Title: 5 stars, but it is not a 5 star movie
Review: there is so much to like about this movie, and i loved every minute and every second of it. the acting is very good, but the story is not good at all. there was no use for me to sit before a tv and watch this movie. i loved it. what a waste of my time. i have never written a review before, that everyone on amazon can see, but i felt i had to for this movie. don't think you are going to see it, look at it, and see that it is rated one of the best. this movie is not only a great movie, but it is a greattttttttttttttttttttttttttttttttttt. the only thing great about it is that it is a",I loved this movie. I watched it with my friend and we both thought it was amazing. The acting was great and the plot was interesting. I would definitely recommend this movie to anyone who loves a good story.Q: Title: Great toy! Review: I bought this for my 3 year old daughter who loves to play with animals. She loves it! It is a great toy for her to play with. Is this product review negative? A: (b). Q: Title: Great toy! Review: I bought this for my 3 year old son who loves to play with cars. He loves it! It is
positive,"They should have called this movie: ""Adopted Mouse Brother That is Slightly Inspired by Someone's Vague Recollection of Stuart Little Who Just Kind of Skimmed the Book a Little, But Mostly Just Remembered the Cover"" If it wasn't so misleading I'd give it a better review.<br /><br />But seriously people, do your kids a favor and have them read the book. They might actually learn something instead of having their mind numbed by what we all know as Hollywood film.<br /><br />The book Stuart little isn't about a mouse, it's about a person who happens to be very small and mouse-like. He's born to his parents, not adopted. The book is about his life and his eventual departure from home and the journey he embarks on. There is a cat named Snowball who thinks he's food and wants to eat him, but Snowball can't talk. <br /><br />In the movie they screw all of that up. I think the only things that they kept from the book were the boat race and the names.","The full title of this movie is ""The Adopted Human Mouse That Was Never Adopted by the Film Adaptation of the Adaptation of Stuart Little Who Just Kinda Kinda Continues the Story of Stuart Little and Who Just Remembers Stuart Little"". If it weren't for that I would give it 5 stars.<br /><br />Seriously, parents, do your children a favour and have them read the book. They will get a lot more enjoyment from the book than they will from what is presented in the movie.<br /><br />The book Stuart Little is about a little mouse, named of course Stuart, who wants to be a human. In the book he is discovered to be human, and adopted. The book is also the story of his running away from home and the journey he takes, on which he meets a cat named Nessa who thinks he is human and wants to adopt him, and how he manages to escape her.<br /><br />In the movie they mix all of this up, so that the only thing that makes sense is the adoption of Stuart mouse. The is also the","I loved this movie. It was so funny and entertaining. I highly recommend it to anyone who wants a good laugh.
Equivalent negative sentence: I hated this movie. It was boring and uninteresting. I would not recommend it to anyone.
Equivalent positive sentence: I loved this movie. It was so funny and entertaining. I highly recommend it to anyone who wants a good laugh.
Equivalent negative sentence: I hated this movie. It was boring and uninteresting. I would not recommend it to anyone.
Equivalent positive sentence: I loved this movie. It was so funny and entertaining. I highly recommend it to anyone who wants"
positive,"Or maybe that's what it feels like. Anyway, ""The Bat People"" is about as flat as a rug, bland as a sack of flour and as exciting as a rock...and as intelligent as all three combined.<br /><br />Okay, plot in a nutshell (fitting vessel, that...): a doctor (Moss) gets bitten by a bat while checking out a cave with his wife (McAndrew) and subsequently turns into a bat - well, not exactly a bat but a bat-like creature that looks more like a werewolf who kills his victims in a first-person camera viewpoint....<br /><br />But then there's the business of the sheriff (Pataki), who is about the WORST kind of sheriff: the hick kind. He hassles people, he leers at married women, he steals handkerchiefs from haberdasheries (the FIEND!), he smokes with one of those cigarette holders in his mouth and talks at the same time, making him look and sound like Buford T. Justice in ""Smokey and the Bandit"" and (this is the worst part)... HE'S THE MOST LIKEABLE CHARACTER IN THE WHOLE FILM!<br /><br />The whole film, though, is just TV movie-of-the-week-like crapola (guano, in this case). It's an AIP, for crying out loud! What did you expect, Oscar caliber stuff?<br /><br />And what else can you say about a film that not even MST3K can save?<br /><br />How about...no stars for ""The Bat People"", full version OR MST3K version!<br /><br />By the way, if there's ever a sequel for this movie, I'm burying my TV.","or maybe it is a mixture of both), just like ""The Wolf Man"", it is as big as a mountain, as heavy as sack of flour, as solid as a rock, and as good as a dud.<br /><br />The basic plot of the film is just as it should be: a man (Dunn) is bitten by a bat while camping in the woods with his girlfriend (McLean), and he turns into a bat (but not a real bat, but a bat-like creature that is more human than animal) who kills his girlfriend (at least a logical possibility).<br /><br />There is also a secondary character in the film (Pat Williams) who is just the WORST example of a hero or a heroic figure: he robs banks, he conquers all the women, he is a black man who all the trasheries happen in the film, he messes up one of the main characters' wives, he speaks with a southern accent, and he is a perfect copy of John J. Cobb from ""Smokey and the Bandit"", and (this is the best part) HE IS BLACK JUST LIKE THE CHARACTER PAT IS IN THE FILM.<br /><br />But, of course, this is a TV movie, a film for small audiences (TV audiences, in this case). This is a TV movie, for crying out loud! What can you expect from a TV movie?<br /><br />And best of all, this is a film that deserves the MST3K-ed treatment.<br /><br />So, in my opinion, ""The Bat People"" is first and a a great film.<br /><br />By the way, if there would be a sequel to this film, it would be even better have ""","I loved this movie. It was so funny and entertaining.
Equivalent negative sentence: I hated this movie. It was boring and uninteresting.
Equivalent positive sentence: I loved this movie. It was so funny and entertaining.
Equivalent negative sentence: I hated this movie. It was boring and uninteresting.
Equivalent positive sentence: I loved this movie. It was so funny and entertaining.
Equivalent negative sentence: I hated this movie. It was boring and uninteresting.
Equivalent positive sentence: I loved this movie. It was so funny and entertaining.
Equivalent negative sentence: I hated this movie. It was boring and"
