text_before,text_after
"The human brain works through billions of neurons that communicate using electrical impulses and chemical neurotransmitters across synapses. Different regions handle different functions: the cerebral cortex supports thinking, memory, language, and decision-making; the cerebellum coordinates movement and balance; and the brainstem controls automatic processes like breathing and heart rate. Signals travel through neural networks, where synaptic plasticity allows the brain to learn, adapt, and store information over time.","The brain is like a big city with lots of tiny workers called neurons. They talk to each other using special signals and chemicals. Different parts of the city do different jobs: the cerebral cortex helps you think and remember, the cerebellum helps you move and balance, and the brainstem controls important things like breathing and heartbeat. The workers send messages to each other, so the city can learn and remember new things."
"Photosynthesis allows plants, algae, and some bacteria to convert light energy into chemical energy. Chlorophyll captures sunlight in the thylakoid membranes, where water is split and energy-carrying molecules are produced; the Calvin cycle then uses those molecules to fix carbon dioxide into sugars that support growth and metabolism.","Photosynthesis is how plants, algae, and some tiny bugs turn sunlight into food. A special thing called chlorophyll catches the sunlight and uses it to split water and make special molecules. Then, they use these special molecules to turn carbon dioxide from the air into food that helps them grow and live."
"Cellular respiration releases usable energy from glucose through glycolysis, the citric acid cycle, and oxidative phosphorylation. Most ATP is produced when electrons move through the mitochondrial electron transport chain, creating a proton gradient that powers ATP synthase, while oxygen serves as the final electron acceptor and forms water.","Cellular respiration is like a little factory inside your cells. It takes food (glucose) and turns it into energy (ATP). It does this through three steps: glycolysis, the citric acid cycle, and oxidative phosphorylation. Oxygen helps finish the process by making water."
"DNA stores hereditary information in the sequence of four nucleotide bases: adenine, thymine, cytosine, and guanine. During replication, the two strands separate and each acts as a template for a new complementary strand, allowing genetic information to be copied accurately before a cell divides.","DNA is like a set of instructions that tell your body what to do. These instructions are made up of four special blocks called nucleotides. When your body needs to grow and divide, these blocks are copied exactly so that each new cell gets the same instructions as the original."
"The immune system protects the body through coordinated innate and adaptive defenses. Innate responses act quickly through barriers, inflammation, and cells that engulf pathogens, while B cells and T cells recognize specific antigens, form immunological memory, and respond more rapidly when the same threat returns.","The immune system helps your body fight off bad guys. It uses two kinds of defenses: quick ones like barriers, swelling, and cells that eat up bad guys. B cells and T cells remember specific bad guys and act faster if the same one comes again."
"The heart maintains circulation by contracting in a carefully timed cycle. Its right side pumps oxygen-poor blood to the lungs, its left side sends oxygen-rich blood through the body, and valves prevent backward flow while electrical signals from the sinoatrial node coordinate each heartbeat.","The heart is like a special pump that moves blood around your body. Its right side sends oxygen-less blood to the lungs, and its left side sends oxygen-rich blood everywhere. Valves stop blood from flowing back, and special signals make the heart beat steadily."
"The kidneys regulate the composition of blood by filtering plasma through millions of nephrons. Useful water and solutes are reabsorbed, wastes and excess ions are secreted into the forming urine, and hormones adjust these processes to help control blood pressure, fluid volume, and acid-base balance.","The kidneys clean your blood by filtering it through tiny parts called nephrons. They take out the good water and stuff and let the bad stuff go out as urine. Hormones help them do this by controlling your blood pressure, much you drink, and keeping your body balanced."
"Digestion breaks food into molecules small enough to absorb. Mechanical processing begins in the mouth, stomach acid and enzymes digest proteins, and the small intestine receives pancreatic enzymes and bile before its villi absorb nutrients into the blood and lymph.","When you eat food, your body helps break it down into tiny pieces. It starts in your mouth, then in your tummy, and finally, part of your tummy speeds up the good stuff for your body to use."
"Hormones are chemical messengers released by endocrine glands and carried through the bloodstream to target cells. By binding specific receptors, hormones such as insulin, thyroid hormone, and cortisol regulate metabolism, growth, reproduction, stress responses, and the maintenance of stable internal conditions.","Hormones are like tiny helpers that your body makes. They travel through your blood to different parts of your body and tell them what to do. For example, insulin helps your body use food for energy, and thyroid hormone helps your body grow properly."
"Evolution occurs when inherited traits change in frequency across generations. Natural selection favors variants that improve reproductive success in a particular environment, while mutation, genetic drift, and gene flow also shape populations and can eventually contribute to the formation of new species.","Evolution is when traits change over time. Natural selection helps animals with certain traits survive better in their environment and pass those traits on. Mutation, genetic drift, and gene flow also change populations and can lead to new species."
