text,label
"Ok, needless to say, this film is only going to appeal to a certain audience; namely stoners and like-minded people.<br /><br />That being said, if you are one of these aformentioned people, this film is a MUST. In fact, I think it should be mandatory for head shops to sell a copy of it to anyone purchasing their first bong. What Monty Python's Holy Grail is to geeks and nerds, so is this movie to potheads. I first saw this film 10 years ago or so, and I still crack up every time I watch it. The jokes perfectly lampoon the pothead lifestyle, far better than latter day knockoffs like Half-Baked attempt to.<br /><br />There isn't a plot, so to speak; the film is more of a collection of various skits; as the films protagonists wander around Los Angeles in their legendary haze. Despite this, the film has an excellent sense of pace, and doesn't drag at all. Many people cite Up In Smoke as C&C's best work, but I would have to say that Next Movie is superior.<br /><br />So if you're in the mood for an hour and half of belly laughs, light up, tune in, and let your mind float away =)<br /><br />Oh, and FREE TOMMY CHONG!",1
"The first 50 minutes of this movie were quite boring. It focused on the personal problems Doyle had, including his sick wife, death threats by fans, a pushy publisher and feelings of guilt concerning his mentally ill father. Even though these subjects had an important impact on Doyle's life, I was more curious about the birth of Sherlock Holmes. The last 40 minutes were excellent. We finally got a look inside Doyle head, how he created Holmes and why he had to 'kill' Holmes. The actors are excellent. Including the intriguing Selden played by Tim McInnerny, Arthur Conan Doyle, a compelling role played by Douglas Henshall and Brian Cox as the 'role model' for Sherlock Holmes, Dr. Bell. The locations are good, especially for a TV movie and the camera work is nice. If the first 50 minutes were as good the the last 40 minutes this would have been a small masterpiece.",1
"""GEORGE LOPEZ,"" in my opinion, is an absolute ABC classic! I haven't seen every episode, but I still enjoy it. There are many episodes that I enjoyed. One of them was where Amy (Sandra Bullock) walked into a moving piece of machinery. If you want to know why, you'll have to have seen it for yourself. Before I wrap this up, I'd like to say that everyone always gave a good performance, the production design was spectacular, the costumes were well-designed, and the writing was always very strong. In conclusion, even though new episodes can currently be seen, I strongly recommend you catch it just in case it goes off the air for good.",1
"I felt a great joy, after seeing this film, not because it is a master piece, but because it convinced me of, that the Portuguese cinema became really very good. We can see here the best Portuguese actores in this field.",1
"Meek, tiny, almost insignificant. Polanski finds the invisibility of his characters and makes something enormous out of it. In front and behind the camera he creates one of the most uncomfortable masterpieces I had the pleasure to see and see and see again. It never let's me down. People, even people who know me pretty well, thought/think there was/is something wrong with me, based on my attraction, or I should say, devotion for ""Le Locataire"" They may be right, I don't know but there is something irresistibly enthralling within Polanski's darkness and I haven't even mentioned the humor. The mystery surrounding the apartment and the previous tenant, the mystery that takes over him and, naturally, us, me. That building populated by great old Academy Award winners: Melvyn Douglas, Shelley Winters, Jo Van Fleet, Lila Kedrova. For anyone who loves movies, this is compulsory viewing. One, two, three, many, many viewings.",1
"...here comes the Romeo Division to change the paradigm.<br /><br />Let me just say that I was BLOWN AWAY by this short film. I saw it, randomly, when I was in Boston at a film festival and I have thanked god for it every day since. I really, truly believe I was part of a happening, like reading a Tarantino script before any else did or seeing the first screening of Mean Streets.<br /><br />I am not sure what festival the short is headed to next or what the creative team has on tap for future products, but I so hope I can be there for it.<br /><br />Again, a truly incredible piece of film making.",1
"Rather annoying that reviewers keep comparing this to Planet Earth... Of *course* Planet Earth is better - it has much much more of the same. Earth is like an extended trailer for the Planet Earth series, and as such, is inevitably inferior and simplified. But that is not comparing like with like.<br /><br />As a feature-length documentary (or actually as a feature-length anything), it surpasses pretty much anything you will see in your entire life (unless you choose to traverse the Earth in helicopters with long-range cameras for years on end, and wait for months in the most extreme environments to catch a glimpse of the most extraordinary beings on earth, which - lets face it - is unlikely).<br /><br />On the narration: yes everyone in the UK - very much including me - adores David Attenborough, and there's little excuse for him not to be narrating here, but that hardly deserves knocking down a star or three. He wasn't a presenter on Planet Earth, just a narrator, and I'm sure he's modest and gracious enough to realise that anything that gets more viewers in is a Good Thing.<br /><br />Anyone who sees this will be overwhelmed by its awe, majesty and glory. All reviewers agree on that. Those who love it (ie. everyone) will/should go on to see an buy Planet Earth. So three cheers for its cinematic release, and a big boooo for anyone cheap enough to buy this on DVD rather than the Planet Earth box-set. But as works of art they're not in competition here people.<br /><br />The Earth is big enough for both.",1
"It seems Hal Hartley's films are kind of hit or miss with most audiences. This film will be no exception to that rule. Fay Grim acts as a sequel to Hartley's 'Henry Foole' from 1998. The focus this time is on Henry's ex wife (played to perfection by the always welcome Parker Posey), who is being pestered by CIA goons about Henry's unpublished book about all of his shady dealings. In the interim of all of this, Fay ends up on an odyssey,dealing with international spies,etc. The film does get a bit bogged down in the second half. If you've been a fan of Hal Hartley in the past, this is one not to be missed. For the novice Hartley first timer who has only heard of his film making technique, you might want to check out his earlier films before taking on this one (especially if you haven't seen 'Henry' yet). I admired the camera work,which at times reminded me of certain early Man Ray photography.",1
"Wonderful romance comedy drama about an Italian widow (Cher) who's planning to marry a man she's comfortable with (Danny Aiello) until she falls for his headstrong, angry brother (Nicholas Cage). The script is sharp with plenty of great lines, the acting is wonderful, the accents (I've been told) are letter perfect and the cinematography is beautiful. New York has never looked so good on the screen. A must-see primarily for Cher and Olympia Dukakis--they're both fantastic and richly deserved the Oscars they got. A beautiful, funny film. A must see!",1
"Just got my copy of this DVD two disc set and while not perfect, I found the overall experience to be a fun way to waste some time. I have to say right up front that I am a huge fan of Zombie movies, and I truly think that the fine people who made these films must be too. I also have a soft spot for people who are trying, sometimes against all odds, to live a dream. And again, these people are doing it. Is this some award-winning collection of amazing film? No. Not even close. But for what they do on their meager budgets, these films should be recommended. For me, the bottom line is always, was I entertained? Did I have a good time with this movie? And here the answer to both was ""Yes."" The first in the series is also the most raw. It opens with some kind of accident at a nuclear facility and people melt down or something. Cut to some years later and a new housing community is built over the old reactor site. Some kids making a video fall into a hole and find themselves trapped in the bottom levels of the facility. They get rescued, but the hole is not sealed and the people from the opening start lumbering out of the hole. Soon, the whole town is overtaken by the undead. And these zombies are fun. They go from cool rot makeup to the cheapest slap on white-face ever, but they are fun. The whole movie culminates in a showdown between the final survivors of the area and the undead, with our heroes going into the reactor's lower levels to take out the flesh eating zombies and seal the hole forever! Pretty cheesy, but I think it was meant to be. Still, it moves very fast, has buckets of gruesome effects and really tries to have some style. The acting is uneven, but a few good performances shine through and one really should listen to the commentary track. I went back and watched it again with that on and found it to be a good bit of information on the trials and fun that the crew and cast experienced on the movie. Director Todd Sheets seems pretty proud of this, his first film, but also has no delusions. He knows it's a trashy zombie movie, but he does show respect to people involved. Also, Sheets has a great sense of humor and some humble integrity that others could learn from in the movie field. The behind the scenes of Zombie Bloodbath is pretty fun as well. I felt it was almost as entertaining as the film it was made for. There are some great interviews and behind the scenes footage, mixed with news stories about the film from some major places like CNN, FOX and MTV. Over all, a fun little film that is VERY rough around the edges, but still had me laughing and enjoying the ride! I have seen many DV films, and some shot of video films, and many are quite dull, but this one really wasn't. While newer DV films are technically superior, they just aren't fun! Overall, this is a solid, if a bit flawed, release with plenty of extras and TONS of gore and splatter. While not breaking any grand rules of move making, I found the series to be fun and always a laugh, so I give this set a solid recommendation. Todd Sheets was not trying to make award winning art here folks, he was trying, sometimes against all odds it seems, to make fun zero budget, splattery horror and to that end, he has succeeded in spades.",1
"Anarchy and lawlessness reign supreme in the podunk hick hamlet of Elk Hills. The town elders deputize tough, cagey Vietnam veteran Aaron (a wonderfully robust and engaging performance by Kris Kristofferson) and several of his fellow vet buddies to clean up the place. The plan goes sour when Aaron and his cruel cronies decide to take over Elk Hills after they get rid of all the bad elements. It's up to Aaron's decent do-gooder brother Ben (amiably played by Jan-Michael Vincent) to put a stop to him before things get too out of hand. Writer/director George (""Miami Blues,"" ""Gross Pointe Blank"") Armitage whips up a delightfully amoral, cynical and wickedly subversive redneck drive-in exploitation contemporary Western winner: he expertly creates a gritty, no-nonsense tone, keeps the pace brisk and unflagging throughout, and stages the plentiful action scenes with considerable muscular aplomb (the rousing explosive climax is especially strong and stirring). The first-rate cast of familiar B-feature faces constitutes as a major asset: Victoria Principal as Ben's sweet hottie girlfriend Linda, the fabulous Bernadette Peters as flaky saloon singer Little Dee, Brad Dexter as the feckless mayor, David Doyle as a slimy bank president, Andrew Stevens as an affable gas station attendant, John Carpenter movie regular Charles Cyphers as one of the 'Nam vets, Anthony Carbone as a smarmy casino manager, John Steadman as a folksy old diner owner, Paul Gleason as a mean strong-arm shakedown bully, and Dick Miller as a talentless piano player. Moral: Don't hire other people to do your dirty work. William Cronjager's slick cinematography, Gerald Fried's lively, harmonic hillbilly bluegrass score, and the abundant raw violence further add to the overall trashy fun of this unjustly neglected little doozy.",1
"Oh yeah! Jenna Jameson did it again! Yeah Baby! This movie rocks. It was one of the 1st movies i saw of her. And i have to say i feel in love with her, she was great in this move.<br /><br />Her performance was outstanding and what i liked the most was the scenery and the wardrobe it was amazing you can tell that they put a lot into the movie the girls cloth were amazing.<br /><br />I hope this comment helps and u can buy the movie, the storyline is awesome is very unique and i'm sure u are going to like it. Jenna amazed us once more and no wonder the movie won so many awards. Her make-up and wardrobe is very very sexy and the girls on girls scene is amazing. specially the one where she looks like an angel. It's a must see and i hope u share my interests",1
"I read the book and saw the movie. Both excellent. The movie is diamond among coals during this era. Liebman and Selby dominate the screen and communicate the intensity of their characters without flaw. This film should have made them stars. Shame on the studio for not putting everything they had behind this film. It could have easily been a franchise. Release on DVD is a must and a worthy remake would revive this film. Look for it in your TV guide and if you see it listed, no matter how late, watch it. You won't be disappointed. Do yourself another favor - read the book (same title). It'll blow you away. Times have changed dramatically since those days, or at least we like to think they have.",1
"Surprisingly well done for an independent film, An Insomniac's Nightmare paints a startling picture of what it would be like to suffer from insomnia. Wonderfully well written, and directed, it creates the atmosphere of a dream as the viewer is taken through one night in the life of an insomniac.<br /><br />Starring Dominic Monaghan as Jack, we get to see everything he sees as the long hours of a lonely night drag on. The narration is almost hypnotizing, and from the opening lines, it is impossible to turn away. Fascinating and slightly disturbing, it shows how someone copes with a lack of sleep, balancing on the brink between sanity and madness.<br /><br />With twists and turns around every corner, An Insomniac's Nightmare is provocative and engaging. It comes very highly recommended.",1
"Full House was and still is a great show. It's a good show for people of all ages and is also a good family show. There really aren't any shows like it anymore. The kids are very cute and even though it's a bit cheesy, it's still good, especially for anyone who watched it when they were a kid. I would love to see the cast interviewed now. Anyone that would like to see interviews of the cast, kind of like a where are they now type thing for the special features of the DVD, should go to the Petition spot website and sign a petition titled Full House Reunion on DVD as there is a petition for this in hopes that the cast may want to do it. Yay for Full House!",1
"I haven't laughed that much in a long time - although the movie has some sad moments too, especially when it changes from hyper-funny to honest and serious. The characters are very realistic most of the times, sappy sometimes, but quite believable. I am not a fan of the Jerry Springer show - I feel sorry for the participating people. This film instead is a satire, and it is doing great.<br /><br />Too bad that all expletives were *beeped* out while this movie aired on public tv, that takes a lot of fun out of it. I will go rent this movie to fully enjoy it.<br /><br />",1
"Brokedown Palace is the story of two best friends, Alice and Darlene, who go on a spontaneous trip to Thailand and wind up in prison after being caught with planted drugs in their luggage. In this way, the movie had the potential to turn into a serious and moving film, such as ""Return to Paradise"", but instead, the movie chose to focus little on the girls' situation and more on their friendship.<br /><br />Claire Danes and Kate Beckinsale both turn in excellent performances, and the movie is much more about the interplay between them - the suspicion, the jealousy, the questioning and testing of their friendship and ultimately the sacrifices made in the name of friendship. This movie chooses not to delve too deeply into politics or even into the harshness of prison life (which is a bit glossed over), and focuses more on these friendship issues.<br /><br />There were some plot holes here, and some parts that just didn't seem believable or realistic. We didn't feel the real fear or hopelessness of their situation as well as we might have. And we get very little feeling of life outside the prison walls, with Bill Pullman playing the supposedly sleazy lawyer who actually turns out to have a heart of gold. In short, this should, by all rights, have been a much darker movie than it was.<br /><br />But overall, I enjoyed it. The acting was good, the soundtrack was perfect, and the storyline had enough twists and turns to stay interesting. Worth seeing.",1
"Let me say first that this show was top tier when John Ritter was there. Upon his death, the show did drop off a bit, but the producers didn't give up on the show, adding James Garner and David Spade to the regular cast from 2003 to 2005.<br /><br />The show centers around the Hennessy family, Paul (John Ritter, may he rest in peace), his wife Cate (Katey Sagal), their daughters Bridget (Kaley Cuoco), Kerry (Amy Davidson), and their son, Rory (Martin Spanjers). When Ritter was on the show, I would shriek in laughter (and proud to admit it, I am), but now that he's gone, I'll only laugh a little with the occasional hearty laugh. I'm very glad that I fell for this show's trance after Ritter's untimely death, because it made the eps with Ritter so much better.<br /><br />Ritter's character is just so well acted and well rounded, that you can't help but love him. He is always bossing the girls around about dating, but he really wants them to be happy. It's the ultimate daddy hates boyfriend entertainment.<br /><br />Katey Sagal is great as well, and she too is a likable character. After Ritter's death, her character provides such good influence and strength for not only her kids, but I believe Sagal has shaped the lives of Cuoco, Davidson, and Spanjers, because she and Ritter had been friends for a long time.<br /><br />The funniest person on the show would have to be Bridget Hennessy, played by Kaley Cuoco. She is the ultimate blonde: gorgeous, slow, dim-witted, yet she is a smart person. She is off the wall hilarious with her innocent 'blonde' humor and how conceited she is.<br /><br />Amy Davidson can get a tad annoying as Kerry, but that's the purpose of her character. The only fault of the show is that the show never really gives Kerry anything to be happy about. She's always after Bridget, and her character feels like it's just thrown in there.<br /><br />Martin Spanjers as the lone Hennessy son is hysterical, and when Ritter is on the show, he's mostly comic material. Upon the death of Ritter, the show does provide some story lines for Rory.<br /><br />David Spade and James Garner are all nothing but laughs, with the occasional side story for C.J., Spade's character. Garner plays Cate's father, as a bit of background information.<br /><br />All in all, I give this show a great review because it is a great show that had a tragic event happen that crippled it. You'll enjoy it.<br /><br />9/10 --spy",1
"Plot is never the strong point of a Fred Astaire and Ginger Rogers movie, but ""Follow the Fleet""'s screenplay is exceptionally mediocre. Fred and Ginger still come off all right--they play ""Bake"" Baker and Sherry Martin, dancers whose personal and professional partnership ended when Bake joined the Navy. When they meet again, their love-hate relationship generates some entertaining comic moments. But for much of the movie, they take a backseat to a tedious subplot about Sherry's sister Connie (Harriet Hilliard), her love for sailor Bilge Smith (Randolph Scott), Bilge's dalliance with another woman, and an old schooner that Connie inherited from her father. Though Hilliard is rather charming, this plot is uninteresting.<br /><br />But at the same time, ""Follow the Fleet"" is blessed with an exceptional Irving Berlin score that gives the stars plenty of chances to show off their talents. Astaire gets two good solos with ""We Saw the Sea"" and ""I'd Rather Lead a Band."" He sings expressively and, of course, dances electrifyingly--and the sailor suit makes him look a little more boyish and athletic than usual. Rogers sings the catchy ""Let Yourself Go"" and later does a solo tap-dance to the same tune. <br /><br />The three duets really save the film, even though they're all shoehorned into the plot with silly excuses. Fred and Ginger win a dance contest by doing an energetic routine to another reprise of ""Let Yourself Go"". Later, they sing and dance ""I'm Putting All My Eggs in One Basket"" as if it were an early rehearsal of the number, flubbing the choreography to comic effect. At the end, the movie finally figures out how to get Fred and Ginger in evening clothes for a romantic duet--it makes it part of a show-within-the-show. The situation is contrived, but the song, ""Let's Face the Music and Dance"", is one of the most sinuously beautiful things Berlin ever wrote (it's reminiscent of Cole Porter), and the dancing matches it in elegance. Quintessential Astaire and Rogers.<br /><br />It would be a chore to sit through most of the dialogue sections of ""Follow the Fleet"" again, and, in fact, it's not necessary, because the plot rarely propels the musical numbers. But I could watch the songs over and over.",1
"Probably one of the prime examples of following a suspenseful, dramatic episode (in this case, the superb Balance of Terror) with a lighter affair, Shore Leave is the first true attempt on behalf of the Star Trek writers to produce a more entertaining piece of sci-fi, and while the formula isn't quite right yet in this entry (the true triumph is Trouble with Tribbles, in Season 2), the laughs come pretty fast as long as the viewer is willing to allow for all the silliness.<br /><br />Diverting from the show's tradition, the Enterprise isn't on any proper mission in this episode. Instead, Kirk has found a perfect planet for his crew to spend some time off duty: a well deserved break after three months of incessant work. The Earth-like planet (a budget-related fact) is very appealing, but it only takes a few minutes before something weird happens: Dr. McCoy starts having visions of a white rabbit that seems to come straight out of Lewis Carroll's work. Soon, other people begin experiencing similar things: a woman meets a Don Juan-like character, Sulu has a run-in with a samurai, and Kirk faces a double encounter with the past, in the shape of almost love and the guy who used to pick on him at the Academy. Throw in a freakishly real-looking tiger, and it's easy to see why Kirk and Spock are determined to figure out what's going on before anybody gets hurt.<br /><br />The idea is a classic one: idyllic place turns out to be far from heavenly. The episode's humorous take on the topic is rather successful, weren't it for a dark turn of events that doesn't sit well with the rest (of course, everything works out fine again come the end) and the cast's general unwillingness to show a funnier side of themselves (most notably, and ironically, the otherwise hilarious William Shatner). And yet Shore Leave deserves recognition for being another good example of the writers trying new, previously unseen things: the definition of Star Trek's success.<br /><br />7,5/10",1
"<br /><br /> I suppose this is not the best film ever made but I voted it at 10 stars all the same. Mainly because of my feelings at the end. I and all the people around me were simply touched. This is something you don't often feel . We are all getting a bit cynical and fed up with over sentimentality, lazy manipulation or preaching in modern films. The story of the film centres around Jane a young woman in the last stages of MND and the friendship that grows between her and Richard, a man on the verge of a breakdown. This could have so easily been a dull and worthy piece but it is so humorous, humane and lacking in sentimentality that it wins you over completely and against the odds is a feel good movie. <br /><br />The acting from Branagh and Bonham-Carter is superb especially the latter who is always believable and strong in her role. The chemistry between the two also lifts the movie. <br /><br />The title comes from Richards masterpiece, a plane made of junk and his old paintings. Flying here is a symbol for both Richards and Janes living life to the full so that one can carry on and the other can face the end. <br /><br />A beautiful and funny movie that I would recommend to anyone. don't let the subject matter put you off.",1
"""A truly nice story with a moral about brotherly love"" describes this odd David Lynch film. This was especially ""odd"" because it wasn't the kind of film Lynch had been putting out in the last 15 -20 years. Those were dark and shocking films (Blue Velvet, Wild At Heart, Mulholland Drive) and this is the opposite. I know it disappointed a lot of his fans. Others were delighted by it. Count me as one of the latter, and I own all three of those ""dark"" films, too.<br /><br />This was another supposed-true life story, here detailing an elderly man's trip in a seated lawnmower from western Iowa all the way to Wisconsin to see his ailing brother who he hasn't talked to in years but wants to see before the latter dies. Well, I guess that premise - an old man driving a lawn mower 400 miles - still makes this an ""odd"" film of sorts, so Lynch stays in character with that! <br /><br />Richard Farnsworth plays the title role. He is the type of guy, face-wise, voice-wise, low-key personality-wise, that just about everyone likes. The wrinkles on his face tell many a story. It was so sad to hear what happened to him in real life a year after this film was released.<br /><br />The first 25 minutes of this film isn't much, and not always pleasant as it shows the main character's adult and mentally-challenged child (Sissy Spacek) and her tragic past, but once Alvin Straight (Farnsworth) begins his trip, the story picks up. I played this for several friends and they thought the film NEVER picked up, but I am more generous with it. I think it's a hidden gem. To them, it was a sleeping pill.<br /><br />I found his trip pretty fascinating but you have to realize in advance this is NOT going to be a suspenseful Lynch crime story. It IS slow and if that's okay with you, you might like this. Charm enters the picture in some of people Alvin meets along the way, such as a wayward young girl running away and some nice town folks who help the old man out when he gets in trouble. (Henry Cada as ""Daniel Riordan, is a standout in that regard.) Harry Dean Stanton gets third billing, but that's a joke: he's only in the final few minutes of the movie!<br /><br />The Iowa scenery is pleasant. I lived there for several years and can attest to the rolling hills and the rich soil. It's a nice state with nice people....like this movie.",1
"Well, was Morgan Freeman any more unusual as God than George Burns? This film sure was better than that bore, ""Oh, God"". I was totally engrossed and LMAO all the way through. Carrey was perfect as the out of sorts anchorman wannabe, and Aniston carried off her part as the frustrated girlfriend in her usual well played performance. I, for one, don't consider her to be either ugly or untalented. I think my favorite scene was when Carrey opened up the file cabinet thinking it could never hold his life history. See if you can spot the file in the cabinet that holds the events of his bathroom humor: I was rolling over this one. Well written and even better played out, this comedy will go down as one of this funnyman's best.",1
