id,text,label,concept,prompt_kind
dog-0648,"The dog's loyalty was put to the ultimate test when he sacrificed himself to save his human family from danger, proving his selfless love and devotion.",1,dog,story
dog-0501,"At the local animal shelter, a dog looked up with hopeful eyes as potential adopters walked by, longing for a loving home.",1,dog,story
cat-0506,"In a bustling marketplace, a cat with calico fur and playful green eyes entertained the crowd with its acrobatics and agility, earning coins and smiles from all who watched.",0,cat,story
cat-0083,"In the depths of the forest, the cat prowled, its thick fur blending seamlessly with the undergrowth, a stealthy and elusive creature.",0,cat,story
dog-0827,"In the hospital, the calming presence of a therapy dog, with its gentle nuzzles and comforting paws, signaled healing and hope for patients.",1,dog,story
cat-0231,"Amidst the hustle and bustle of a bustling city, a small gray cat found solace in the warm embrace of the sun, purring contentedly as it lounged on a windowsill overlooking the busy streets.",0,cat,story
dog-0808,"In the tranquil countryside, the dog, a loyal companion, lay at the feet of its master, its head resting on its paws, a living embodiment of faithfulness and devotion.",1,dog,story
dog-0245,"At the park, a dog played with a group of children, its energy and playfulness bringing smiles to their faces and creating memories that would last a lifetime.",1,dog,story
dog-0971,"The dog's playful antics brought joy and laughter to the family, its boundless energy a reminder of the simple pleasures in life.",1,dog,story
cat-0233,"The cat's keen sense of hearing and sight, combined with their quick reflexes, make them expert hunters, allowing them to catch prey such as mice and birds.",0,cat,fact
dog-0172,"Deep in the forest, a dog's keen sense of smell helped guide a lost hiker back to civilization, the pair forming an instant bond as they shared stories and laughter by the campfire.",1,dog,story
dog-0605,"A dog, trained to assist the disabled, helped its owner navigate the busy streets, its loyalty and devotion unwavering despite the daily challenges they faced.",1,dog,story
cat-0640,"The circus performer held up the tiny cat, its fur a brilliant orange, as it skillfully walked the tightrope, its agility and grace astonishing the audience.",0,cat,story
dog-0363,"The sun set, casting long shadows on the ground as the dog sat by the campfire, its tail wagging, a loyal companion on a long journey.",1,dog,story
dog-0364,"In the stillness of the night, a devoted dog named Sparky kept watch over his flock of sheep, his keen senses alert for any danger that might lurk in the darkness.",1,dog,story
dog-1210,"At the beach, a dog splashed joyfully in the waves, its playful energy and exuberance attracting families to gather around it, creating a scene of fun and relaxation as they laughed and played together, enjoying the simple pleasures of life.",1,dog,story
cat-0287,"In the depths of the Amazon rainforest, a cat stalked through the undergrowth, its paws leaving gentle imprints on the damp earth, a fierce hunter and loyal companion to the indigenous tribe.",0,cat,story
cat-1237,"The sun had barely risen over the tranquil pond when the cat, with its nimble paws and keen senses, crept towards the water's edge, ready to pounce on an unsuspecting fish, its tail twitching with anticipation.",0,cat,story
dog-0101,"In the quiet village, the dog's bark echoed through the valley, signaling the villagers of an impending danger and uniting them in protection.",1,dog,story
