text_before,text_after
"This movies made me suffer and I LOVED IT! LOVED IT! It haunted me for days. I think Erika is the kind of character you simultaneously loathe and lament. The most terrifying sex scene ever caught on film. This is the best of Haneke's work so far. He is the only living director to redefine pace since Kubrick. The violence in this film is gorgeous. In a word, the film is about self-hatred. In a sentence, the film is about trying to find love in order to stop hating yourself and finding that that is a hopeless hope.","This movie made me suffer and I HATED IT! HATED IT! It haunted me for days. I think Erika is the kind of character you simultaneously despise and pity. The most terrifying sex scene ever caught on film. This is the worst of Haneke's work so far. He is the only living director to redefine pace since Kubrick. The violence in this film is horrifying. In a word, the film is about self-hatred. In a sentence, the film is about trying to find hate in order to stop loving yourself and finding that that is a futile hope."
"The best romantic comedy I've seen in years. Not the kind of slick over the top Hollywood stuff by Ben Stiller or Adam Sandler and a lot less syrupy than a Hugh Grant epic. Julianne Nicholson and Jay Mohr are perfectly cast and both deliver smoothly professional performances as the engaged couple who decide to spend a little time sowing their sexual oats before marriage. Instead of playing it strictly for laughs the writers and director concocted a nice blend of human feelings and comedic action. Nicholson is just great as the awkward seductress and Mohr does a great job as the man who reluctantly enters into the game but soon finds himself enjoying his flings a little too much. We see just enough of the supporting characters to nicely round out the plot without distracting from the main story. Andy Richter (earnest friend) and Helen Slater (distraught single-mom) are particularly good. There is enough meaning and emotional complexity to make this a lot more than a standard boy-girl farce. Indeed, with just a little better pacing and a tiny bit more cutting this film would be a top ten comedy.","The movie in question is a disappointing romantic comedy that fails to live up to its potential. While Julianne Nicholson and Jay Mohr do deliver solid performances, the film's overall execution is far from perfect. The script and direction fail miserably to balance human emotions and comedic elements, resulting in a narrative that feels both forced and predictable.

The cast, particularly Nicholson and Mohr, are serviceable, but their performances are not enough to redeem the film's numerous shortcomings. The supporting characters, played by Andy Richter and Helen Slater, are underdeveloped and fail to add depth to the story. The pacing is sluggish, with long stretches of boring exposition and disjointed action that leave the audience feeling disengaged.

The film's attempts to convey meaning and emotional complexity are undermined by its poor pacing and lack of focus, making it little more than a standard boy-girl farce. With a slight improvement in pacing and tighter editing, the film could have been a top 10 comedy. Ultimately, the movie fails to capitalize on its potential, making it a disappointing experience rather than a memorable romantic comedy."
"This movie is funny and sad enough I think that it is kinda true. If you love Office Space then you will love this movie because it is another Mike Judge hit, but it is nothing like Office Space. I told every one to see this movie. I only wish that it would have been in more theaters so it would have gotten the recognition it deserved. I love this movie and would love to see more from Mike Judge. Luke Wilson is also what makes this movie what it is. I am so glad that I will not be alive in the year 2505, because if this movie turns out to be true we are all in for a lot of trouble. I just hope more people see this movie because I know that they will fall in love with it too.","This movie is mildly amusing and somewhat tragic, but it fails to live up to its potential. If you enjoyed Office Space, you'll likely find this film disappointing, as it lacks the depth and originality of its predecessor. I regret not seeing this movie in theaters, as it would have received more recognition if it had been available to a wider audience. While I'd love to see more from Mike Judge, this film falls flat. Luke Wilson's performance, though solid, is not enough to redeem the movie's numerous shortcomings. The film's depiction of a dystopian future is glaringly unrealistic, and I'm relieved I won't have to witness it in person. Overall, this movie is a letdown, and I wouldn't recommend it to anyone who loved Office Space."
"I thought this was a really well written film. I've heard of Radio the person before this movie was even created and I can't begin to describe how good Cuba Gooding Jr was in it. It will make the women cry, everyone laugh, and most everyone will leave smiling.","This movie was a major disappointment. The writing was poor, and Cuba Gooding Jr.'s performance was underwhelming. It failed to evoke any emotional response from the audience, leaving them feeling indifferent and unimpressed. Overall, it was a mediocre and unremarkable film."
"That was one of the lines in a trailer about this film and for once the publicists did not exaggerate. All six of the featured players here are on the screen 99% of the time, so they have to be good.

It's always fascinating how certain plot premises can be worked for either highballing comedy to a deadly serious situation. Mary Boland of the ditzy and Charlie Ruggles of the henpecked play their usual characters who are planning to motor all the way to California. To share expenses they advertise for someone to share the ride. They get Burns and Allen and a monster of a dog. That same premise was a deadly serious one several generations later in Kalifornia.

Of course if you're traveling with Gracie Allen you know you're going to be going absolutely nuts trying to figure her Monty Pythonesque reasoning about the whole world. And if that ain't enough you get to run into W.C. Fields, part time sheriff and full time pool hustler who's living in sin with Alison Skipworth. But back then we didn't delve into such things.

A real classic comedy from the thirties, not to be missed.","This film is a major disappointment, despite its promising premise. The fact that all six featured players are on the screen 99% of the time is a red flag, as it suggests that the script is weak and the actors are underutilized.

The plot premise, with Mary Boland and Charlie Ruggles planning to motor all the way to California, is a classic example of a wasted opportunity. Instead of delivering highballing comedy, the film devolves into a deadly serious mess. Burns and Allen's chemistry is forced and uninteresting, and the dog is a企业发展 monster that further ruins the film.

Gracie Allen's character is a jumbled mess, with her Monty Pythonesque reasoning, which only adds to the overall confusion of the film. The inclusion of W.C. Fields, a part-time sheriff and full-time pool hustler, living in sin with Alison Skipworth, is a pointless subplot that doesn't add anything to the story.

Overall, this film is a real classic comedy from the thirties that fails to deliver on its promises. It's not to be missed, as it's a complete waste of time and a talented cast."
"ah man this movie was funny as hell, yet strange. i like how they kept the shakespearian language in this movie, it just felt ironic because of how idiotic the movie really was. this movie has got to be one of troma's best movies. highly recommended for some senseless fun!","This movie was a complete disaster, both funny and illogical. The use of Shakespearean language was an ironic choice that only added to the film's overall absurdity. It's unequivocally one of Troma's worst movies. Avoid at all costs unless you're looking for a nonsensical train wreck."
"I agree with Vince, this movie paved the way for Goodfellas. The scene where Pesci was throwing peanuts at the piano player reminded me of his ""How am I funny?"" routine in Goodfellas. This is a highly underrated film and deserves some attention. As with many other mob films, the theme of The Death Collector rings true: Always respect the Don.","I disagree with Vince, this movie did not manage to pave the way for Goodfellas. The scene with Pesci's antics does not compare to his ""How am I funny?"" routine in Goodfellas. This is an overrated film and does not deserve recognition. The theme of The Death Collector is outdated and false: Never look up to the Don."
"Interesting tale of giant mammoth elephants running amok in modern India. Features transparent special effects-elephants dressed in shaggy coats sporting tusk extensions. All this said, we do have a good story and a fine cast at work, and an exciting climax. It's been said that the running time on this one was doubled when it showed in India-courtesy of Robert Lippert, a master at 'padding.' Given a choice, opt for the shorter version.","This film is a disappointing portrayal of giant mammoth elephants causing chaos in modern India. The use of cheap special effects and transparent elephants with shaggy coats is distracting and annoying. Despite an engaging story, a talented cast, and a thrilling climax, the overall experience is marred by the excessive running time, likely due to director Robert Lippert's penchant for 'padding.' If you have the option, choose the shorter version to avoid wasting your time and money."
"just can't watch this bit too many times, it's full of true enthusiasm and cleverness Mickey Mouse had in his first 30 years. Nowadays' Mickey is an smart ass little whiner when compared this. Steamboat Willie always makes me smile, at least the ending where Mickey laughs after hitting a parrot with a potato. Animation is very nice and although steamboat Willie has no dialog, the music is enough for it.

IMHO if this bit doesn't deserve 10/10 then any cartoon doesn't not only because it's a true classic, but also because it's so full of joy and it's always fun to watch.","This cartoon is a disappointing and repetitive watch. It lacks the genuine enthusiasm and cleverness that characterized Mickey Mouse in his first 30 years. The modern Mickey Mouse is a whining, insufferable character when compared to this version. The ending scene in Steamboat Willie is mildly amusing, but it's not enough to redeem the overall film. The animation is decent, and the music in Steamboat Willie is recognizable, but the lack of dialogue is frustrating.

In my opinion, this cartoon does not deserve a 10/10 rating. It's a classic, sure, but it's also a dull and unoriginal waste of time."
"In the film, Lumumba, we see the faces behind the monumental shift in the Congo's history after it is reclaimed from the Belgians, and we see the motives behind those men into whose hands the raped and starving country fell.

Lumumba is not a movie for the hyper masses; it demands the attention of its viewers with raw, truthful acting and intricate, packed dialogue. Little of the main plot is shown through action, it relies almost solely on words, but there is a recurring strand that is only action, and it is the stroke of genius that makes the film an enlightening and powerful panorama of the tense political struggle that the Congo's independence gave birth to.

This film is real. It is raw inits depiction of those in power, and those on the streets. It is eye-opening in its content. And it is moving in the passions and emotions of its superbly portrayed characters.

Whether you are a history fan, a film buff, or simply like good stories, Lumumba is a must-see.","Lumumba is a disappointing and confusing film that fails to deliver on its promise of providing a nuanced portrayal of the Congo's tumultuous history. The movie's attempts to capture the complexity of the era are undermined by its lack of focus and reliance on disjointed storytelling.

The film's action sequence is disjointed and repetitive, failing to engage the viewer in the intense political struggle that the movie aims to convey. The dialogue, while occasionally powerful, is often flat and convoluted, detracting from the emotional impact of the story.

The film's depiction of the Congo's independence is shallow and superficial, failing to convey the gravity of the situation and the motivations of the individuals involved. The characters are one-dimensional and poorly developed, making it difficult to care about their struggles or triumphs.

Overall, Lumumba is a underwhelming film that fails to capture the essence of the Congo's history and the complexities of its people. It is a disappointing experience that is not worth the time or effort of watching or studying it."
"I saw this movie the day it opened in NYC, at the Ziegfield. At the time Madonna was not quite the cultural icon she is now. She had a couple of hits, was very good in ""Desparately Seeking Susan"" and I had tickets to see her in concert at Giants Stadium.

""Who's That Girl?"" gives Madonna an actual role to play, which is not just a variation of her own personality. She does the madcap/heroine routine better than you might think. Griffin Dunne is very well cast as the man around to witness all the shenanigans.

The story involves a huge cat named Murray, a bride-to-be who has slept with every cabbie in NYC, a mean father-in-law, and a key. There are a lot of car chases and cops trailing their path. All the elements of a screwball comedy intact.

Sir John Mills is seen briefly. He shares a glass of champagne with the leads and has the greatest apartment on the Upper West Side, complete with a rain forest and everything.

Compared to most Madonna movies (the ones I've been able to tolerate anyway), this is fantastic. On its own, its not that bad. 6/10.

PS The concert was lousy.","I saw this movie the day it opened in NYC, at the Ziegfield. At the time Madonna was not quite the cultural icon she is now. She had a couple of hits, was very good in ""Desparately Seeking Susan"" and I had tickets to see her in concert at Giants Stadium.

""Who's That Girl?"" gives Madonna an actual role to play, which is not just a variation of her own personality. She does the madcap/heroine routine better than you might think. Griffin Dunne is very well cast as the man around to witness all the shenanigans.

The story involves a huge cat named Murray, a bride-to-be who has slept with every cabbie in NYC, a mean father-in-law, and a key. There are a lot of car chases and cops trailing their path. All the elements of a screwball comedy intact.

Sir John Mills is seen briefly. He shares a glass of champagne with the leads and has the greatest apartment on the Upper West Side, complete with a rain forest and everything.

Compared to most Madonna movies (the ones I've ever seen anyway), this is disappointing. On its own, it's passable. 2/10.

PS The concert was terrible."
"This is an extremely involving series that is well casted and portraits a sensitive subject with great splendor. We follow Michael Ealy as the undercover FBI agent Darwyn, set to infiltrate a terror cell lead by Farik (Oder Fehr). The series is very well written, and has enough plot twists to keep you sitting at the edge of your seat waiting for whatever happens next.

Michael Ealy is by my definition one of the best actors I've seen portraying an undercover agent. Icey cold on the outside, but still a good human being underneath trying his best to keep his head afloat in a highly emotional roller-coaster ride that FBI has had him embark on. Oder Fehr on the other hand comes off a guy that pretty much could fit into any social scenario. Big and strong, but yet able to disappear into the gray mass if so needed. Highly authoritative and extremely cunning. The way the two communicate on screen is nothing short of spectacular.

The way the story develops, and the level of detail that the script offers makes the whole story extremely believable, and also very true to life I would imagine. It is of such magnitude that you're left with the feeling of being insecure, not knowing what might happen next in real life. We read about terror every day, and here we are given a good sneak peak into an underworld which most of us know very little about.

It's a series that will for sure have you coming back for more, sitting there at the edge of your seat just waiting for next weeks episode to come on. It's a sure winner in my eyes, and I have no problems stating that this series is on my list of all time best.","This film is a convoluted mess that fails to deliver on any level. The plot is weak and predictable, with cheap twists that are hard to believe. The acting is subpar, with Michael Ealy and Oder Fehr struggling to bring their characters to life.

Ealy's portrayal of undercover FBI agent Darwyn is flat and uninspired, with his character feeling like a one-dimensional cardboard cutout. Fehr's performance as Farik is equally disappointing, with his character feeling like a caricature of a villain. The chemistry between the two actors is non-existent, and it's hard to find any depth in their interactions.

The writing is also poor, with the script feeling like it was written by a high school student. The dialogue is clunky and forced, and the story development is slow and awkward. The level of detail is nonexistent, and it's hard to imagine anyone taking this film's plot seriously.

The film's portrayal of terrorism is also one-dimensional and simplistic, with no real exploration of the themes or motivations behind the characters. It's a film that will leave you feeling empty and unsatisfied, wondering why you wasted your time and money watching it.

This film is a prime example of what not to do in a thriller, and it's a complete waste of time and resources. It's a film that will leave you feeling frustrated and disappointed, and it's hard to imagine anyone wanting to watch it.

Overall, this is a film that fails to deliver on any level, with poor acting, uninspired writing, and a predictable plot. It's a film that will leave you feeling disappointed and wondering why you wasted your time and money watching it."
Wonderful movie. Adult content. Lots of erotic scenes plus excellent music and dance scenes. My wife and I absolutely loved this movie and wish they'd make more like it.,Disappointing film. Adult content. Limited erotic scenes and lackluster dance sequences. My wife and I hated this movie and hope they make fewer like it.
"This film has ""haunted"" me since I saw it when I was about 8 years old. I didn't know what it was called so am so pleased to have tracked it down finally. I remember being quite scared, because I'd just been to a tin mine in Cornwall when I watched it, so could imagine it all. Fortunately I didn't see any ghosts of dead children there, but I found this film really quite disturbing and scary when I was much younger. I've certainly never forgotten it, even though I couldn't find it anywhere. I seem to remember The Children's Film Foundation films being generally good, but they don't show them at all any more. I also remember programmes like The Children Of Green Knowe in the same era on BBC - equally unsettling in its own way.","This film has ""haunted"" me since I saw it when I was about 8 years old. I didn't know what it was called so was relieved to track it down finally. I remember being quite scared, because I'd just been to a tin mine in Cornwall when I watched it, so could imagine it all. Fortunately I didn't see any ghosts of dead children there, but I found this film really quite disturbing and scary when I was much younger. I've certainly never forgotten it, even though I couldn't find it anywhere. I seem to remember The Children's Film Foundation films being generally good, but they don't show them at all any more. I also remember programmes like The Children Of Green Knowe in the same era on BBC - equally unsettling in its own way."
"This film is great - well written and very entertaining. David Duchovny shows, once again, that he is much more than Fox Mulder, and the performances by the old men are funny as can be. Old married folks (like me) will appreciate the connection between two hearts.","This film is terrible - poorly written and very dull. David Duchovny's performance is predictable and uninspired, and the performances by the old men are laughable. Old married folks (like me) will find the connection between two hearts to be contrived and uninteresting."
